topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,doc_id
3.9084306411751364e-4,3.9084306417444883e-4,3.9084306416117023e-4,0.2084489877882709,0.46242719959038403,3.9084306420442166e-4,3.9084306413473803e-4,3.908430641682308e-4,0.03060749921975489,0.2961712550166297,text123
4.3849154371564304e-4,4.3849154373040505e-4,4.384915436871203e-4,0.8728245652092304,0.12366750244049521,4.384915438445732e-4,4.3849154387493977e-4,4.3849154380686195e-4,4.3849154381481355e-4,4.384915438001318e-4,text124
3.90843063977998e-4,0.996482412423304,3.9084306397962865e-4,3.9084306424832675e-4,3.9084306409949057e-4,3.908430640487822e-4,3.908430642039241e-4,3.9084306414187653e-4,3.9084306402066934e-4,3.908430639753339e-4,text125
3.583895370943651e-4,3.5838953736394303e-4,0.057374573027219634,0.939758310675379,3.583895371650194e-4,3.583895371856313e-4,3.5838953720995846e-4,3.5838953713899217e-4,3.583895371061462e-4,3.5838953713741205e-4,text126
3.944146377570329e-4,3.944146378997383e-4,3.9441463777792075e-4,0.43715115106940144,3.944146377480683e-4,3.94414637841793e-4,0.559693531828222,3.944146377935687e-4,3.944146377054215e-4,3.944146378530584e-4,text127
3.739134271408348e-4,3.7391342738113056e-4,3.739134272217215e-4,0.9966347791550249,3.7391342720095855e-4,3.7391342716393814e-4,3.7391342723000904e-4,3.7391342729714506e-4,3.7391342715244804e-4,3.7391342718704927e-4,text128
4.0175725539656824e-4,0.6904312470658382,4.0175725548479e-4,4.0175725544350785e-4,4.0175725549434897e-4,0.3063546948904457,4.017572555446925e-4,4.0175725557897566e-4,4.0175725538348664e-4,4.017572553897208e-4,text129
4.384915436625877e-4,0.24164806182584528,4.384915438331061e-4,0.37155890077246206,4.384915437798211e-4,0.38372359659506944,4.3849154394175844e-4,4.384915439084284e-4,4.384915436961594e-4,4.3849154380133193e-4,text13
3.7391342710527614e-4,3.7391342744558313e-4,3.7391342720754595e-4,3.7391342724002496e-4,0.7971929880269953,0.19981570455522174,3.739134273072046e-4,3.7391342723305684e-4,3.739134271370676e-4,3.73913427107212e-4,text130
3.908430640833848e-4,3.9084306433696125e-4,3.908430641546087e-4,0.07617120940345334,3.908430641059766e-4,3.908430642430587e-4,0.9207020460833036,3.908430641003211e-4,3.9084306408191223e-4,3.9084306413671795e-4,text131
3.58389537126956e-4,3.5838953726785843e-4,3.583895371483405e-4,3.583895374997406e-4,0.2061899285237099,0.49949696882014516,3.583895372228998e-4,3.5838953722900057e-4,3.583895371791976e-4,0.291804375895471,text132
3.583895372532384e-4,0.7785759287820041,3.5838953712413784e-4,0.17283308657135973,0.046082257886528144,3.583895371078342e-4,3.58389537248929e-4,3.5838953720077597e-4,3.5838953710009864e-4,3.5838953707297895e-4,text133
3.6444179843487905e-4,3.6444179858732655e-4,3.6444179842891756e-4,3.64441798794641e-4,0.7776230618507761,3.6444179845304507e-4,0.10746273082229661,3.644417985712218e-4,3.6444179836011653e-4,0.1123631147372971,text134
3.5838953715370555e-4,3.5838953720542877e-4,3.583895371445016e-4,0.24562094949557356,3.583895372279107e-4,3.583895372208563e-4,3.583895372211881e-4,3.583895373085004e-4,3.583895372577195e-4,0.7515119342066866,text135
3.805061822398911e-4,3.8050618251864746e-4,3.805061823213204e-4,0.8992075125708224,0.09774843797073864,3.805061822164679e-4,3.805061822952572e-4,3.8050618235488794e-4,3.805061821915102e-4,3.8050618230087114e-4,text136
3.7391342723441307e-4,3.739134272903965e-4,0.04629974071587888,0.8891762778678763,3.7391342716835865e-4,3.7391342711221384e-4,3.7391342733760163e-4,3.7391342724096447e-4,0.06190658742575243,3.739134271084237e-4,text137
0.02530810848179768,4.0553204803559986e-4,4.0553204790705165e-4,4.055320483305147e-4,0.2742369378482415,4.0553204792904767e-4,0.6976162293338946,4.0553204800102807e-4,4.055320479657673e-4,4.0553204789730196e-4,text138
4.132985091703638e-4,4.132985094991181e-4,4.1329850923829534e-4,0.8927010046948113,4.1329850926329125e-4,0.10399260723092671,4.1329850940648275e-4,4.1329850925099444e-4,4.13298509230113e-4,4.132985092033959e-4,text139
5.958921516452878e-4,5.958921519577437e-4,5.958921518187115e-4,0.07194108626069062,5.958921517038248e-4,5.958921519458569e-4,5.958921518051122e-4,0.9232917765248898,5.958921516925193e-4,5.958921518505456e-4,text14
3.7391342716573293e-4,0.5195601730677872,0.17342237629798463,3.739134275733998e-4,3.73913427236749e-4,0.3044000566431703,3.7391342723862146e-4,3.7391342735712877e-4,3.7391342716406396e-4,3.739134273220624e-4,text140
